funded_amnt,installment,grade,sub_grade,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,last_pymnt_amnt,last_fico_range_high,collections_12_mths_ex_med,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_il_tl,num_op_rev_tl,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,target,term_36months,initial_list_status_w,individual,hardhship,employed_over_10yrs,emp_years,interest_rate,revolving_util,issue_date_month,issue_date_year,years_since_earliest_cr_line
25200.0,721.45,F,F4,MORTGAGE,88000.0,2012-10-01,Fully Paid,debt_consolidation,WA,16.23,2.0,2001-03-01,669.0,2.0,19.0,1.0,10755.0,44.0,33209.1030505429,33209.1,25200.0,8009.1,0.0,0.0,561.06,669.0,0.0,0.0,0.0,299511.0,23800.0,9.0,15764.0,5111.0,3.6,0.0,0.0,140.0,64.0,7.0,7.0,4.0,7.0,0.0,0.0,3.0,8.0,25.0,12.0,8.0,19.0,0.0,0.0,0.0,6.0,95.0,0.0,0.0,0.0,324201.0,86069.0,5300.0,79477.0,0,1,0,1,0,0,3.0,23.76,45.2,10,2012,11.0
6700.0,233.05,C,C2,RENT,42000.0,2019-09-01,Current,debt_consolidation,IL,13.14,1.0,1997-09-01,669.0,0.0,7.0,0.0,6033.0,10.0,1858.73,1858.73,1237.65,621.08,0.0,0.0,233.05,624.0,0.0,0.0,0.0,20771.0,7900.0,0.0,2967.0,1867.0,76.4,0.0,0.0,217.0,264.0,40.0,30.0,0.0,40.0,,2.0,5.0,5.0,4.0,5.0,5.0,7.0,0.0,0.0,1.0,0.0,77.8,60.0,0.0,0.0,23846.0,20771.0,7900.0,15946.0,0,1,1,1,0,0,5.0,15.24,76.4,9,2019,22.0
7500.0,239.1,B,B2,RENT,35000.0,2015-11-01,Fully Paid,debt_consolidation,CT,24.6,0.0,2004-10-01,719.0,1.0,18.0,0.0,6396.0,39.0,8603.443293857,8603.44,7500.0,1103.44,0.0,0.0,238.76,784.0,0.0,0.0,0.0,33258.0,23500.0,3.0,2217.0,3135.0,57.1,0.0,0.0,132.0,132.0,1.0,1.0,0.0,9.0,1.0,7.0,3.0,7.0,14.0,14.0,7.0,18.0,0.0,0.0,0.0,2.0,78.4,0.0,0.0,0.0,61557.0,33258.0,7300.0,38057.0,0,1,1,1,0,0,5.0,9.17,27.2,11,2015,11.0
18000.0,557.52,A,A3,MORTGAGE,54000.0,2018-08-01,Fully Paid,other,TN,22.98,0.0,2009-06-01,759.0,0.0,11.0,0.0,23192.0,29.0,19236.0543932958,19236.05,18000.0,1236.05,0.0,0.0,12553.02,739.0,0.0,0.0,0.0,166794.0,63200.0,2.0,18533.0,20531.0,26.7,0.0,0.0,87.0,110.0,18.0,18.0,4.0,45.0,22.0,0.0,2.0,4.0,8.0,9.0,4.0,11.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,223798.0,32218.0,28000.0,20000.0,0,1,1,1,0,0,,7.21,36.7,8,2018,9.0
1600.0,53.14,B,B5,MORTGAGE,147000.0,2017-10-01,Fully Paid,other,WA,16.2,0.0,1999-04-01,704.0,0.0,12.0,0.0,5941.0,22.0,1822.3361796462,1822.34,1600.0,222.34,0.0,0.0,974.23,729.0,0.0,0.0,0.0,124252.0,71900.0,6.0,10354.0,62559.0,8.7,0.0,0.0,156.0,222.0,7.0,1.0,0.0,7.0,1.0,6.0,2.0,2.0,13.0,8.0,2.0,12.0,0.0,0.0,0.0,3.0,73.7,0.0,0.0,0.0,208444.0,124252.0,68500.0,136544.0,0,1,1,1,0,0,4.0,11.99,8.3,10,2017,18.0
10000.0,324.65,B,B3,MORTGAGE,38000.0,2017-08-01,Current,credit_card,GA,10.59,0.0,1998-05-01,679.0,0.0,6.0,1.0,10854.0,7.0,10417.75,10417.75,8729.22,1688.53,0.0,0.0,324.65,719.0,0.0,0.0,0.0,10981.0,14500.0,2.0,1830.0,3250.0,76.6,0.0,0.0,148.0,231.0,6.0,6.0,0.0,14.0,,0.0,4.0,5.0,1.0,5.0,5.0,6.0,0.0,0.0,0.0,1.0,100.0,50.0,1.0,0.0,14752.0,10981.0,13900.0,0.0,0,1,1,1,0,0,3.0,10.42,74.9,8,2017,19.0
11900.0,368.86,A,A4,MORTGAGE,80000.0,2015-07-01,Fully Paid,debt_consolidation,PA,25.13,0.0,1995-09-01,709.0,0.0,8.0,0.0,6426.0,18.0,13088.7369427578,13088.74,11900.0,1188.74,0.0,0.0,4632.56,624.0,0.0,0.0,0.0,224009.0,12300.0,4.0,28001.0,5874.0,52.2,0.0,0.0,238.0,49.0,20.0,12.0,2.0,20.0,15.0,3.0,2.0,2.0,13.0,3.0,2.0,8.0,0.0,0.0,0.0,1.0,83.3,0.0,0.0,0.0,259063.0,56873.0,12300.0,69923.0,0,1,1,1,0,0,6.0,7.26,52.2,7,2015,20.0
10625.0,284.76,D,D2,OWN,30000.0,2019-11-01,Current,debt_consolidation,OR,19.52,0.0,1996-07-01,674.0,2.0,15.0,1.0,5879.0,23.0,1696.43,1696.43,643.85,1052.58,0.0,0.0,284.76,664.0,0.0,0.0,0.0,9799.0,20900.0,11.0,754.0,448.0,76.4,0.0,0.0,15.0,280.0,1.0,1.0,0.0,45.0,1.0,0.0,1.0,6.0,1.0,14.0,6.0,15.0,0.0,0.0,0.0,5.0,100.0,100.0,1.0,0.0,26400.0,9799.0,1900.0,5500.0,0,1,1,1,0,0,,20.55,28.1,11,2019,23.0
15000.0,496.14,B,B3,OWN,20000.0,2019-06-01,Current,major_purchase,CT,31.45,0.0,2003-09-01,729.0,0.0,6.0,0.0,5872.0,11.0,5438.02,5438.02,4040.74,1397.28,0.0,0.0,496.14,709.0,0.0,0.0,65.0,12977.0,9100.0,1.0,2595.0,2028.0,70.6,0.0,0.0,189.0,180.0,25.0,14.0,0.0,25.0,14.0,0.0,3.0,4.0,3.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,100.0,33.3,0.0,0.0,19100.0,12977.0,6900.0,10000.0,0,1,1,0,0,0,,11.71,64.5,6,2019,16.0
16000.0,516.2,B,B3,MORTGAGE,83824.0,2015-07-01,Fully Paid,debt_consolidation,KS,15.88,0.0,1986-10-01,699.0,0.0,11.0,0.0,20269.0,27.0,18574.314956767,18574.31,16000.0,2574.31,0.0,0.0,516.19,719.0,0.0,0.0,0.0,40503.0,29100.0,4.0,4050.0,7940.0,70.0,0.0,0.0,146.0,345.0,4.0,4.0,1.0,4.0,9.0,1.0,5.0,7.0,11.0,8.0,7.0,11.0,0.0,0.0,0.0,2.0,95.8,80.0,0.0,0.0,62446.0,40503.0,26500.0,33346.0,0,1,1,1,0,1,10.0,9.99,69.7,7,2015,29.0
